revenue_code,deal_type,fee tier,Primary contractor,
RC526,OMP,publisher-omp,publisher,
RC527,OTHER_PMP,publisher-pmp,publisher,
RC528,OMP,,,
RC529,OTHER_PMP,,,
RC530,OMP,,,
RC531,OTHER_PMP,,,
RC532,OMP,,,
RC533,OTHER_PMP,,,
RC534,OMP,publisher-omp,publisher,
RC535,OTHER_PMP,publisher-pmp,publisher,
RC540,OMP,publisher-omp,publisher,
RC541,OTHER_PMP,publisher-pmp,publisher,
RC542,OMP,publisher-omp,publisher,
RC543,OTHER_PMP,publisher-pmp,publisher,
RC544,OMP,publisher-omp,publisher,
RC545,OTHER_PMP,publisher-pmp,publisher,
RC546,OMP,publisher-omp,publisher,
RC547,OTHER_PMP,publisher-pmp,publisher,
RC548,OMP,context,ozone,
RC548,OTHER_PMP,context,ozone,
RC549,OTHER_PMP,,,
RC550,OMP,,,
RC551,OTHER_PMP,,,
RC552,PUBLICIS_PERFORMANCE_PMP,,,
RC553,PUBLICIS_PERFORMANCE_PMP,,,
RC555,OMP,publisher-omp,publisher,
RC556,OTHER_PMP,publisher-pmp,publisher,
RC557,OMP,context,ozone,
RC558,OTHER_PMP,context,ozone,
RC559,HAWK_BRAND_PMP,,,
RC560,HAWK_PERFORMANCE_PMP,,,
RC561,HAWK_CONTEXT_PMP,,,
RC562,HAWK_GENERIC_PMP,,,
RC563,PUBDEALS_BRAND,,,
RC564,PUBDEALS_PERFORMANCE,,,
RC565,PUBDEALS_CONTEXT,,,
